bayesData,,,,,,,,,,,,,,,,,,,,,,,,
data_id,ego_speed,ego_angle,ego_lane,rel_f0,rel_b0,rel_f1,is_safe_f0,is_safe_f1,is_safe_b0,f0_speed,f0_acc,f0_lane,f0_intension,b0_speed,b0_acc,b0_lane,b0_intension,f1_speed,f1_acc,f1_lane,f1_intension,weather,decision_speed,decision_angle
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,acc,left,right,mid,keep,left,right,Rain,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,acc,left,right,mid,keep,left,right,Rain,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,acc,left,right,mid,dec,left,right,Rain,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,acc,left,right,mid,dec,left,right,Rain,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,acc,left,right,mid,dec,left,right,Rain,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,acc,left,right,mid,dec,left,right,Rain,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,acc,left,right,mid,dec,left,right,Rain,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,acc,left,right,mid,dec,left,right,Rain,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,keep,left,right,mid,dec,left,right,Rain,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,dec,left,right,mid,dec,left,right,Rain,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,dec,left,right,mid,dec,left,right,Rain,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,dec,left,right,mid,dec,left,right,Rain,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,dec,left,right,mid,keep,left,right,Rain,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,keep,left,right,mid,keep,left,right,Rain,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,acc,left,right,mid,keep,left,right,Rain,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,acc,left,right,mid,keep,left,right,Rain,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,acc,left,right,mid,keep,left,right,Rain,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,acc,left,right,mid,dec,left,right,Rain,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,acc,left,right,mid,dec,left,right,Rain,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,acc,left,right,mid,dec,left,right,Rain,keep,right
100,mid,straight,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,keep,left,right,mid,dec,left,right,Rain,keep,right
100,mid,straight,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,keep,left,right,mid,keep,left,right,Rain,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,keep,left,right,mid,keep,left,right,Rain,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,keep,left,right,mid,keep,left,right,Rain,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,mid,dec,left,right,mid,keep,left,right,Rain,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,mid,dec,left,right,mid,keep,left,right,Rain,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,mid,dec,left,right,mid,keep,left,right,Rain,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,mid,dec,left,right,mid,keep,left,right,Rain,keep,right
100,stop,straight,right,mid,mid,mid,unsafe,safe,unsafe,stop,keep,right,right,stop,keep,left,right,stop,keep,left,right,cloudy,keep,right
100,stop,straight,right,mid,mid,mid,unsafe,safe,unsafe,stop,keep,right,right,stop,keep,left,right,stop,keep,left,right,cloudy,keep,right
100,low,straight,right,mid,mid,mid,unsafe,safe,unsafe,stop,keep,right,right,stop,acc,left,right,stop,keep,left,right,cloudy,keep,right
100,low,right,right,mid,mid,mid,unsafe,safe,unsafe,low,dec,right,right,low,dec,left,right,low,acc,left,right,cloudy,keep,right
100,low,right,right,mid,close,mid,unsafe,safe,unsafe,low,dec,right,right,low,dec,left,right,low,acc,left,right,cloudy,keep,right
100,low,right,right,mid,close,mid,unsafe,safe,unsafe,low,dec,right,right,low,dec,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,right,mid,close,mid,unsafe,safe,unsafe,low,dec,right,right,low,acc,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,right,mid,close,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,right,mid,close,mid,unsafe,safe,unsafe,low,acc,right,right,low,acc,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,right,mid,close,mid,unsafe,safe,unsafe,low,keep,right,right,low,acc,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,right,mid,close,mid,unsafe,safe,unsafe,low,keep,right,right,low,acc,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,right,mid,close,mid,unsafe,safe,unsafe,low,keep,right,right,low,acc,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,right,mid,close,mid,unsafe,safe,unsafe,low,dec,right,right,low,acc,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,right,mid,close,mid,unsafe,safe,unsafe,low,dec,right,right,low,acc,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,right,mid,close,mid,unsafe,safe,unsafe,low,dec,right,right,low,acc,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,right,mid,close,mid,unsafe,safe,unsafe,low,dec,right,right,low,acc,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,right,mid,close,mid,unsafe,safe,unsafe,low,dec,right,right,low,acc,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,right,mid,close,mid,unsafe,safe,unsafe,low,dec,right,right,low,acc,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,right,mid,close,mid,unsafe,safe,unsafe,low,dec,right,right,mid,acc,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,right,mid,close,mid,unsafe,safe,unsafe,low,dec,right,right,mid,acc,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,right,mid,close,mid,unsafe,safe,unsafe,low,dec,right,right,mid,acc,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,right,mid,close,mid,unsafe,safe,unsafe,low,dec,right,right,mid,keep,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,right,mid,close,mid,unsafe,safe,unsafe,low,dec,right,right,mid,dec,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,left,mid,close,mid,unsafe,safe,unsafe,low,dec,right,right,mid,dec,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,left,mid,close,mid,unsafe,safe,unsafe,low,dec,right,right,mid,dec,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,left,mid,close,mid,unsafe,safe,unsafe,low,dec,right,right,low,dec,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,left,mid,close,mid,unsafe,safe,unsafe,low,dec,right,right,low,dec,left,right,low,keep,left,right,cloudy,keep,right
100,low,right,left,mid,close,mid,unsafe,safe,unsafe,low,dec,right,right,low,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,low,right,left,mid,close,mid,unsafe,safe,unsafe,low,dec,right,right,low,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,low,right,left,mid,close,mid,unsafe,safe,unsafe,low,dec,right,right,low,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,low,right,left,mid,close,mid,unsafe,safe,unsafe,low,keep,right,right,stop,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,low,right,left,mid,close,mid,unsafe,safe,unsafe,low,keep,right,right,stop,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,low,right,left,mid,close,mid,unsafe,safe,unsafe,low,keep,right,right,stop,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,low,right,left,mid,close,mid,unsafe,safe,unsafe,low,keep,right,right,stop,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,low,right,left,mid,mid,mid,unsafe,safe,unsafe,low,keep,right,right,stop,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,low,right,left,mid,mid,mid,unsafe,safe,unsafe,low,keep,right,right,stop,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,low,right,left,mid,mid,mid,unsafe,safe,unsafe,low,keep,right,right,stop,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,low,right,left,mid,mid,mid,unsafe,safe,unsafe,low,keep,right,right,stop,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,low,right,left,mid,mid,mid,unsafe,safe,unsafe,low,keep,right,right,stop,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,low,right,left,mid,mid,mid,unsafe,safe,unsafe,low,keep,right,right,stop,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,low,right,left,mid,mid,mid,unsafe,safe,unsafe,low,dec,right,right,stop,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,low,right,left,mid,mid,mid,unsafe,safe,unsafe,low,dec,right,right,stop,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,low,right,left,mid,mid,mid,unsafe,safe,unsafe,low,dec,right,right,stop,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,low,right,left,mid,mid,mid,unsafe,safe,unsafe,low,dec,right,right,stop,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,low,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,stop,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,low,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,stop,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,low,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,stop,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,stop,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,low,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,low,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,mid,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,mid,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,mid,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,mid,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,mid,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,mid,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,mid,acc,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,straight,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,keep,left,right,mid,dec,left,right,cloudy,keep,right
100,mid,straight,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,straight,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,straight,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,straight,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,straight,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,left,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,close,mid,mid,unsafe,safe,safe,low,dec,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,unsafe,safe,safe,low,dec,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,unsafe,safe,safe,low,dec,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,unsafe,safe,safe,low,dec,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,unsafe,safe,safe,low,dec,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,unsafe,safe,safe,low,dec,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,unsafe,safe,safe,low,keep,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,keep,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,keep,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,keep,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,dec,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,dec,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,dec,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,dec,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,dec,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,dec,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,dec,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,dec,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,dec,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,dec,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,keep,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,left,mid,mid,mid,safe,safe,safe,low,keep,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,right,mid,mid,mid,safe,safe,safe,low,dec,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,right,mid,mid,mid,safe,safe,safe,low,dec,right,right,mid,dec,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,right,mid,mid,mid,safe,safe,safe,low,dec,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,right,mid,mid,mid,safe,safe,safe,low,dec,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
100,mid,right,right,mid,mid,mid,safe,safe,safe,low,dec,right,right,mid,keep,left,right,mid,keep,left,right,cloudy,keep,right
